"name","ra","dec","trigger_time","t90","t90_error","t90_start","trigger_name"
"GRB170101116","70.64","-1.58","57754.116179019","  12.800"," 0.362","   0.320","bn170101116"
"GRB170101374","157.49","28.9","57754.374003577","   2.304"," 0.689","  -0.576","bn170101374"
"GRB170106968","39.41","-32.72","57759.967937784","  31.232","10.524","  -0.768","bn170106968"
"GRB170109137","117.24","-10.92","57762.137215024"," 293.637"," 2.360","   1.024","bn170109137"
"GRB170110967","49.62","12.05","57763.967257293","  34.048","12.554","  -0.256","bn170110967"
"GRB170111760","117.61","61.52","57764.760140332","   0.832"," 0.781","  -0.704","bn170111760"
"GRB170111815","270.88","63.71","57764.815293817","   3.072"," 1.318","  -1.600","bn170111815"
"GRB170112970","207.76","-61.77","57765.969549959","   7.360"," 1.557","  -0.256","bn170112970"
"GRB170113420","61.735","-71.933","57766.419561453","  49.152"," 4.136","  -4.096","bn170113420"
"GRB170114833","137.92","-28.46","57767.832783423","  29.184"," 0.572","   0.320","bn170114833"
"GRB170114917","12.08","-12.55","57767.917471009","  12.032"," 1.305","   0.512","bn170114917"
"GRB170115662","81.56","-18.67","57768.661538578"," 120.320"," 4.871","  -1.024","bn170115662"
"GRB170115743","189.12","-46.85","57768.74252354","  44.288"," 3.083","   0.512","bn170115743"
"GRB170116238","72.94","-87.43","57769.238371056","   9.216"," 3.620","  -1.024","bn170116238"
"GRB170119228","111.61","50.42","57772.227682151","  28.928"," 2.429","  -5.632","bn170119228"
"GRB170120471","262.83","12.57","57773.471200588","  28.928"," 7.697","  -2.048","bn170120471"
"GRB170121067","3.03","-75.62","57774.067287507","   2.304"," 0.286","  -0.064","bn170121067"
"GRB170121133","241.99","13.81","57774.132546581","   1.600"," 0.905","  -1.472","bn170121133"
"GRB170121614","72.84","-12.65","57774.614148308","  46.337"," 2.187"," -11.264","bn170121614"
"GRB170124238","291.74","69.61","57777.237639546","  39.168"," 4.891","   0.768","bn170124238"
"GRB170124528","10.85","11.02","57777.528113792","   0.448"," 0.559","  -0.320","bn170124528"
"GRB170124874","282.04","-75.51","57777.873684697","  22.784"," 0.572","   1.792","bn170124874"
"GRB170125022","264.14","28.58","57778.021686389","   3.904"," 1.120","  -2.432","bn170125022"
"GRB170125102","359.41","-38.23","57778.10220263","   0.672"," 1.227","  -0.672","bn170125102"
"GRB170126480","263.633","-64.7605","57779.479647417","  13.824"," 3.083","   0.256","bn170126480"
"GRB170127067","339.33","-63.94","57780.066525354","   0.128"," 0.045","   0.000","bn170127067"
"GRB170127634","19.9766","-30.3588","57780.634360758","   1.728"," 1.346","  -0.064","bn170127634"
"GRB170130302","271.05","-29.11","57783.301906026","  50.177"," 4.382","  -0.256","bn170130302"
"GRB170130510","308.75","1.44","57783.50958527"," 101.122"," 1.493","  -5.120","bn170130510"
"GRB170130697","296.39","-80.45","57783.696681664","  29.184"," 6.155"," -13.056","bn170130697"
"GRB170131969","341.447","64.006","57784.968742567","  23.040"," 5.971","  -2.560","bn170131969"
"GRB170203486","245.09","-0.51","57787.486410358","   0.336"," 0.506","  -0.064","bn170203486"
"GRB170205521","287.01","66.67","57789.521060951","   5.376"," 1.286","  -0.128","bn170205521"
"GRB170206453","212.79","14.48","57790.452751111","   1.168"," 0.102","   0.208","bn170206453"
"GRB170207906","315.704","55.69","57791.906292508","  38.913"," 0.572","   1.280","bn170207906"
"GRB170208553","284.42","-0.11","57792.553162891","  53.761"," 1.864","   2.304","bn170208553"
"GRB170208758","166.564","-46.7674","57792.757828669","   7.168"," 1.056","   0.000","bn170208758"
"GRB170208940","127.144","-9.0298","57792.940006159","  22.016"," 1.639","  -7.936","bn170208940"
"GRB170209048","110.779","-52.2464","57793.047662926","  39.677"," 2.064","   0.003","bn170209048"
"GRB170210116","226.055","-65.101","57794.116395554","  76.545"," 1.379","  17.920","bn170210116"
"GRB170212034","155.1","-1.48","57796.034030762","  15.872"," 1.846","  -3.072","bn170212034"
"GRB170214649","256.33","-1.88","57798.648922734"," 122.882"," 0.724","  12.544","bn170214649"
"GRB170219002","54.843","50.072","57803.002165776","   0.096"," 0.437","  -0.032","bn170219002"
"GRB170219110","78.69","-41.23","57803.109777216","  10.240"," 2.202","  -2.048","bn170219110"
"GRB170222209","292.956","28.211","57806.209017133","   1.664"," 0.143","  -0.064","bn170222209"
"GRB170228773","355.94","15.73","57812.772920885","  46.081"," 3.367","  -0.256","bn170228773"
"GRB170228794","239.55","-3.59","57812.793758221","  60.673"," 2.111","   1.568","bn170228794"
"GRB170301812","278.55","-45.38","57813.81158617","  12.544"," 7.464","  -1.536","bn170301812"
"GRB170302166","154.25","29.39","57814.165558823","   3.840"," 1.900","  -0.768","bn170302166"
"GRB170302719","198.47","-3.7","57814.719253698","  87.808"," 5.526"," -66.816","bn170302719"
"GRB170302876","11.95","6.41","57814.875858395","  89.856"," 3.874","   0.768","bn170302876"
"GRB170304003","330.5","-73.76","57816.003079519","   0.160"," 0.315","  -0.016","bn170304003"
"GRB170305256","38.66","12.09","57817.256328523","   0.448"," 0.072","  -0.032","bn170305256"
"GRB170306130","157.88","27.75","57818.130068486","  32.257"," 4.128","  -5.888","bn170306130"
"GRB170306588","154.62","51.59","57818.588452229","  18.944"," 0.923","   4.608","bn170306588"
"GRB170307851","13.535","9.537","57819.850896931","  28.416"," 1.717","  -2.304","bn170307851"
"GRB170308221","216.35","-46.33","57820.220826107","  11.520"," 0.724","   3.072","bn170308221"
"GRB170310417","218.31","53.98","57822.416557219","  13.568"," 6.676"," -10.240","bn170310417"
"GRB170310883","156.68","41.56","57822.883144015","  18.176"," 2.290","  -1.536","bn170310883"
"GRB170313125","359.62","29.27","57825.125330245","  41.984","19.338","  -2.304","bn170313125"
