TrigNum,Date,Time UT,"MesgType GBM LAT","RA (J2000) [deg]","Dec (J2000) [deg]","Error [deg] [arcmin]",Comments
713012024,23/08/06,10:53:39.46,GBM Flight Position,126.750,+5.583,28.13,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 108.35,6.43 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
713012024,23/08/06,10:53:39.46,GBM Flight Position,51.950,+74.367,32.13,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 108.35,6.43 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712991593,23/08/06,05:13:08.26,GBM Final Position,60.810,+19.570,2.32,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
712987357,23/08/06,04:02:32.37,GBM Final Position,63.120,-7.330,18.10,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Short GRB.
712987357,23/08/06,04:02:32.37,GBM Ground Position,43.240,-11.320,12.11,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712987357.fits
712987357,23/08/06,04:02:32.37,GBM Flight Position,46.200,-11.333,20.83,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 93.30,-24.57 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712977016,23/08/06,01:10:11.47,GBM Flight Position,126.633,+20.200,30.03,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 207.92,-15.57 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712977016,23/08/06,01:10:11.47,GBM Flight Position,352.950,+78.083,29.50,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 207.92,-15.57 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712966862,23/08/05,22:20:57.32,GBM Flight Position,123.533,+15.967,14.92,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 323.48,15.83 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712966862,23/08/05,22:20:57.32,GBM Flight Position,131.083,+29.217,25.15,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 323.48,15.83 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712965395,23/08/05,21:56:30.89,GBM Flight Position,135.167,+18.133,7.65,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 242.58,-20.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712965395,23/08/05,21:56:30.89,GBM Flight Position,132.750,+11.317,10.85,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 242.58,-20.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712965395,23/08/05,21:56:30.89,GBM Flight Position,130.600,+15.767,14.63,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 242.58,-20.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712965395,23/08/05,21:56:30.89,GBM Flight Position,140.250,+19.717,21.60,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 242.58,-20.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712965395,23/08/05,21:56:30.89,GBM Flight Position,54.517,+45.533,26.40,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 242.58,-20.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712953666,23/08/05,18:41:01.30,GBM Flight Position,35.350,+64.733,13.00,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 269.45,-24.58 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712945515,23/08/05,16:25:10.82,GBM Final Position,77.360,+55.250,12.67,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
712947599,23/08/05,16:59:54.19,GBM Flight Position,234.750,+77.533,9.10,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 269.18,-25.15 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712947599,23/08/05,16:59:54.19,GBM Flight Position,229.017,+68.233,16.15,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 269.18,-25.15 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712945515,23/08/05,16:25:10.82,GBM Final Position,72.430,+52.190,13.04,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Short GRB.
712945515,23/08/05,16:25:10.82,GBM Ground Position,78.650,+54.570,11.99,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712945515.fits
712945515,23/08/05,16:25:10.82,GBM Flight Position,100.217,+51.750,28.12,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 150.28,19.37 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712927418,23/08/05,11:23:33.59,GBM Final Position,208.490,+32.500,9.10,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB. NOTE: This GBM event is temporally(18.0<100sec) coincident with the SWIFT_BAT event (trignum=1183217).
712927418,23/08/05,11:23:33.59,GBM Ground Position,220.820,+62.550,2.05,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712927418.fits
712927418,23/08/05,11:23:33.59,GBM Flight Position,211.467,+43.500,18.42,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 157.82,23.00 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712920509,23/08/05,09:28:24.90,GBM Flight Position,151.417,+55.117,35.27,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 113.77,-4.97 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712920509,23/08/05,09:28:24.90,GBM Flight Position,91.217,+5.317,26.77,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 113.77,-4.97 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712912581,23/08/05,07:16:16.50,GBM Final Position,44.740,+47.640,6.47,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
712912581,23/08/05,07:16:16.50,GBM Ground Position,42.420,+50.040,10.81,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712912581.fits
712912581,23/08/05,07:16:16.50,GBM Flight Position,45.350,+45.500,21.58,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 2.72,-11.25 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712901915,23/08/05,04:18:30.72,GBM Flight Position,297.650,-43.583,11.85,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 94.25,-24.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712901915,23/08/05,04:18:30.72,GBM Ground Position,299.220,-38.960,13.02,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712901915.fits
712901915,23/08/05,04:18:30.72,GBM Flight Position,301.267,-53.900,19.32,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 94.25,-24.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712901915,23/08/05,04:18:30.72,GBM Flight Position,277.417,-45.317,25.05,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 94.25,-24.22 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712823940,23/08/04,06:38:55.84,GBM Final Position,199.760,-45.240,16.63,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
712823940,23/08/04,06:38:55.84,GBM Ground Position,190.730,-59.170,7.78,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712823940.fits
712823940,23/08/04,06:38:55.84,GBM Flight Position,196.500,-48.650,12.43,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 177.40,0.93 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712798043,23/08/03,23:27:18.23,GBM Final Position,48.740,-33.880,4.40,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
712798043,23/08/03,23:27:18.23,GBM Final Position,50.760,-33.530,2.89,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
712798043,23/08/03,23:27:18.23,GBM Ground Position,54.190,-30.310,4.10,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712798043.fits
712798043,23/08/03,23:27:18.23,GBM Flight Position,51.533,-25.183,10.85,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 91.63,6.60 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712798043,23/08/03,23:27:18.23,GBM Flight Position,51.517,-24.783,18.62,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 91.63,6.60 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712769114,23/08/03,15:25:09.73,GBM Final Position,39.210,+19.270,12.00,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
712769114,23/08/03,15:25:09.73,GBM Final Position,39.250,+20.270,9.09,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
712769114,23/08/03,15:25:09.73,GBM Flight Position,41.333,+17.200,24.88,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 187.07,17.60 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712721549,23/08/03,02:12:24.43,GBM Flight Position,138.283,-5.467,31.77,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 258.45,3.37 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712721549,23/08/03,02:12:24.43,GBM Flight Position,145.450,+15.000,33.87,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 258.45,3.37 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712718833,23/08/03,01:27:08.15,GBM Final Position,158.410,-64.380,3.33,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
712718833,23/08/03,01:27:08.15,GBM Ground Position,152.280,-66.300,2.60,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712718833.fits
712718833,23/08/03,01:27:08.15,GBM Flight Position,145.233,-67.883,5.93,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 97.35,-6.75 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712713532,23/08/02,23:58:47.92,GBM Final Position,22.220,+9.620,5.88,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
712713532,23/08/02,23:58:47.92,GBM Ground Position,30.380,+7.180,5.86,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712713532.fits
712713532,23/08/02,23:58:47.92,GBM Flight Position,36.917,+1.867,13.78,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 143.47,-16.32 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712654501,23/08/02,07:34:56.58,GBM Flight Position,42.300,+16.717,35.23,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 264.78,25.43 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712651827,23/08/02,06:50:22.23,GBM Flight Position,68.517,+12.467,9.12,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 108.27,-25.10 [deg]. The LC_URL file will not be created until ~15 min after the trigger. NOTE: This GBM event is temporally(4.0<100sec) coincident with the SWIFT_BAT event (trignum=1182085)."
712651827,23/08/02,06:50:22.23,GBM Flight Position,72.667,+15.333,20.22,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 108.27,-25.10 [deg]. The LC_URL file will not be created until ~15 min after the trigger. NOTE: This GBM event is temporally(4.0<100sec) coincident with the SWIFT_BAT event (trignum=1182085)."
712597426,23/08/01,15:43:41.18,GBM Flight Position,71.683,-74.500,22.90,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 137.98,24.97 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712539561,23/07/31,23:39:16.43,GBM Final Position,237.310,-58.910,8.33,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
712539561,23/07/31,23:39:16.43,GBM Ground Position,235.030,-63.800,7.89,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_712539561.fits
712539561,23/07/31,23:39:16.43,GBM Flight Position,231.167,-62.667,18.12,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 324.77,8.62 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712512744,23/07/31,16:12:19.31,GBM Flight Position,111.700,-57.900,30.07,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 187.82,20.68 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712482682,23/07/31,07:51:17.62,GBM Flight Position,68.583,+45.883,26.92,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 210.20,10.03 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712482682,23/07/31,07:51:17.62,GBM Flight Position,248.717,-46.300,34.88,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 210.20,10.03 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712478828,23/07/31,06:47:03.61,GBM Flight Position,137.733,+17.167,34.77,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 347.73,15.98 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
712478828,23/07/31,06:47:03.61,GBM Flight Position,128.667,+28.550,36.80,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 347.73,15.98 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
