healpix,trig_no,time,coverage
glg_healpix_all_bn230517462.fit,706014351,2023-05-17 11:16:02,0.0
glg_healpix_all_bn230518951.fit,706142972,2023-05-18 22:58:43,0.00066039886
glg_healpix_all_bn230521211.fit,706338208,2023-05-21 05:12:32,0.016078873
glg_healpix_all_bn230523474.fit,706533794,2023-05-23 11:32:28,0.17410354
glg_healpix_all_bn230524239.fit,706599831,2023-05-24 05:53:09,0.15482746
glg_healpix_all_bn230524255.fit,706601200,2023-05-24 06:15:51,0.2707426
glg_healpix_all_bn230525449.fit,706704373,2023-05-25 14:37:10,0.17719254
glg_healpix_all_bn230527290.fit,706863439,2023-05-27 13:18:42,0.23137009
glg_healpix_all_bn230529330.fit,707039690,2023-05-29 08:04:10,1.7993483e-05
glg_healpix_all_bn230603525.fit,707488534,2023-06-03 12:44:39,0.29064074
glg_healpix_all_bn230608468.fit,707915617,2023-06-08 12:09:45,0.081157014
glg_healpix_all_bn230613373.fit,708339390,2023-06-13 13:50:53,0.45963654
glg_healpix_all_bn230614385.fit,708426906,2023-06-14 09:24:19,1.8543719e-07
glg_healpix_all_bn230614424.fit,708430236,2023-06-14 13:07:47,0.24638826
glg_healpix_all_bn230617926.fit,708732816,2023-06-17 22:22:48,6.5167733e-09
glg_healpix_all_bn230618227.fit,708758776,2023-06-18 05:36:26,0.6156403
glg_healpix_all_bn230625767.fit,709410255,2023-06-25 18:33:38,0.22587645
glg_healpix_all_bn230626604.fit,709482627,2023-06-26 18:17:19,-3.052703e-13
glg_healpix_all_bn230628734.fit,709666599,2023-06-28 17:45:54,0.30934128
glg_healpix_all_bn230628849.fit,709676556,2023-06-28 20:31:40,0.0
glg_healpix_all_bn230701948.fit,709944284,2023-07-01 22:54:09,1.4894239e-17
glg_healpix_all_bn230702527.fit,709994338,2023-07-02 12:49:08,0.0
glg_healpix_all_bn230704821.fit,710192540,2023-07-04 20:00:25,1.7897028e-12
glg_healpix_all_bn230707141.fit,710392976,2023-07-07 03:33:08,0.062965386
glg_healpix_all_bn230707782.fit,710448385,2023-07-07 18:55:47,0.00017204612
glg_healpix_all_bn230709706.fit,710614579,2023-07-09 17:05:32,1.469091e-16
glg_healpix_all_bn230709735.fit,710617111,2023-07-10 05:28:33,0.00010500684
glg_healpix_all_bn230709902.fit,710631570,2023-07-09 21:39:56,5.0420366e-11
glg_healpix_all_bn230710826.fit,710711405,2023-07-10 19:59:23,0.10657049
glg_healpix_all_bn230712868.fit,710887802,2023-07-12 20:59:21,0.0030308508
glg_healpix_all_bn230715190.fit,711088412,2023-07-15 06:57:55,4.3621356e-05
glg_healpix_all_bn230717117.fit,711254953,2023-07-17 02:58:34,0.0
glg_healpix_all_bn230718188.fit,711347407,2023-07-18 14:14:32,0.007169093
glg_healpix_all_bn230723194.fit,711779928,2023-07-23 04:48:02,2.9827752e-06
glg_healpix_all_bn230723488.fit,711805358,2023-07-23 11:51:56,0.34483543
glg_healpix_all_bn230725439.fit,711973975,2023-07-25 10:42:08,0.10385849
