GRBName,Trig_no,healpix,locmap
bn170101116,504931642,2048,0
bn170101374,504953918,2048,0
bn170101885,504998034,2048,2048
bn170103797,505163261,2048,2048
bn170103867,505169319,2048,2048
bn170106968,505437234,2048,0
bn170107450,505478888,2048,2048
bn170107763,505505943,2048,2048
bn170109137,505624660,2048,0
bn170110967,505782776,2048,0
bn170111256,505807736,2048,2048
bn170111760,505851281,2048,0
bn170111815,505856046,2048,0
bn170112970,505955774,2048,0
bn170113239,505979097,2048,2048
bn170113420,505994655,2048,0
bn170114833,506116757,2048,0
bn170114917,506124074,2048,0
bn170115662,506188361,2048,0
bn170115743,506195359,2048,0
bn170116238,506238200,2048,0
bn170118975,506474664,2048,2048
bn170119228,506496476,2048,0
bn170119259,506499220,2048,2048
bn170120471,506603916,2048,0
bn170121067,506655418,2048,0
bn170121133,506661057,2048,0
bn170121614,506702667,2048,0
bn170124005,506909229,2048,2048
bn170124238,506929337,2048,0
bn170124528,506954434,2048,0
bn170124874,506984291,2048,0
bn170124977,506993206,2048,2048
bn170124997,506994960,2048,2048
bn170125022,506997078,2048,0
bn170125102,507004035,2048,0
bn170125428,507032157,2048,2048
bn170126442,507119827,2048,2048
bn170126480,507123046,2048,0
bn170127067,507173752,2048,0
bn170127239,507188627,2048,2048
bn170127311,507194903,2048,2048
bn170127382,507201051,2048,2048
bn170127634,507222813,2048,0
bn170128189,507270725,2048,2048
bn170128303,507280598,2048,2048
bn170128374,507286702,2048,2048
bn170128756,507319758,2048,2048
bn170130027,507429565,2048,2048
bn170130302,507453289,2048,0
bn170130510,507471233,2048,0
bn170130697,507487398,2048,0
bn170131969,507597304,2048,0
bn170201199,507617186,2048,2048
bn170201595,507651416,2048,2048
bn170201788,507668062,2048,2048
bn170202118,507696568,2048,2048
bn170202190,507702864,2048,2048
bn170203486,507814830,2048,0
bn170203633,507827513,2048,2048
bn170203771,507839406,2048,2048
bn170205165,507959893,2048,2048
bn170205521,507990624,2048,0
bn170205755,508010837,2048,2048
bn170206414,508067750,2048,2048
bn170206453,508071122,2048,0
bn170207403,508153187,2048,2048
bn170207573,508167892,2048,2048
bn170207906,508196708,2048,0
bn170208553,508252598,2048,0
bn170208758,508270281,2048,0
bn170208940,508286021,2048,0
bn170209048,508295323,2048,0
bn170210116,508387661,2048,0
bn170211197,508481012,2048,2048
bn170212034,508553345,2048,0
bn170213352,508667217,2048,2048
bn170214511,508767384,2048,2048
bn170214649,508779271,2048,0
bn170215307,508836087,2048,2048
None,508930304,None,None
bn170219002,509155392,2048,0
bn170219110,509164689,2048,0
bn170219373,509187437,2048,2048
bn170220864,509316287,2048,2048
bn170222209,509432464,2048,0
bn170228773,509999585,2048,0
bn170228794,510001385,2048,0
bn170301812,510089326,2048,0
bn170302166,510119909,2048,0
bn170302189,510121941,2048,2048
bn170302592,510156773,2048,2048
bn170302719,510167748,2048,0
bn170302876,510181279,2048,0
bn170303182,510207699,2048,0
bn170303584,510242487,2048,2048
bn170304003,510278671,2048,0
bn170305256,510386951,2048,0
bn170306130,510462442,2048,0
bn170306588,510502047,2048,0
bn170307219,510556510,2048,2048
bn170308210,510642159,2048,2048
bn170308221,510643084,2048,0
bn170309108,510719701,2048,2048
bn170309801,510779620,2048,2048
bn170310417,510832795,2048,0
bn170310883,510873108,2048,0
bn170312490,511011899,2048,2048
bn170313125,511066833,2048,0
bn170315582,511279081,2048,0
bn170316710,511376544,2048,0
bn170316801,511384412,2048,2048
bn170316973,511399297,2048,2048
bn170317666,511459171,2048,0
bn170317705,511462508,2048,2048
bn170318644,511543678,2048,0
bn170319724,511636997,2048,2048
bn170320675,511719153,2048,2048
bn170322141,511845803,2048,2048
bn170322212,511851891,2048,2048
bn170322592,511884768,2048,2048
bn170322636,511888529,2048,2048
bn170323058,511925008,2048,0
bn170323775,511986993,2048,0
bn170325331,512121423,2048,0
bn170325758,512158306,2048,2048
bn170326489,512221483,2048,0
bn170327522,512310716,2048,2048
bn170327947,512347439,2048,2048
bn170328020,512353690,2048,2048
bn170328090,512359791,2048,2048
bn170328470,512392630,2048,2048
bn170328514,512396381,2048,2048
bn170329387,512471831,2048,0
bn170330496,512567622,2048,2048
bn170330924,512604640,2048,2048
bn170331241,512632045,2048,2048
bn170331916,512690310,2048,2048
bn170331986,512696362,2048,2048
bn170401359,512728582,2048,2048
bn170401441,512735671,2048,2048
bn170401906,512775916,2048,2048
bn170401959,512780464,2048,2048
bn170402285,512808659,2048,0
bn170402539,512830563,2048,2048
bn170402961,512867010,2048,0
bn170403583,512920762,2048,0
bn170403599,512922153,2048,2048
bn170403707,512931458,2048,0
bn170403889,512947173,2048,2048
bn170405056,513048038,2048,2048
bn170405204,513060833,2048,2048
bn170405777,513110367,2048,0
bn170409112,513398525,2048,31744
bn170411927,513641740,2048,2048
bn170412293,513673313,2048,2048
bn170412917,513727252,2048,0
bn170412988,513733380,2048,0
bn170413037,513737585,2048,2048
bn170414005,513821201,2048,2048
bn170414551,513868401,2048,0
bn170416538,514040065,2048,2048
bn170416583,514044010,2048,0
bn170416993,514079408,2048,2048
bn170419898,514330431,2048,0
bn170419983,514337779,2048,0
bn170420131,514350525,2048,2048
bn170420252,514360964,2048,2048
