,Unnamed: 0,Tile No,RA_Center,DEC_Center,Totmass,Maxmass
9565,9565,9565,0.0,-32.5,568172000000.0,104523000000.0
9566,9566,9566,0.833333333,-32.5,2102380000000.0,215118000000.0
9567,9567,9567,1.666666667,-32.5,3027950000000.0,666449000000.0
9568,9568,9568,2.5,-32.5,1220460000000.0,115222000000.0
9569,9569,9569,3.333333333,-32.5,4335620000000.0,543494000000.0
9570,9570,9570,4.166666667,-32.5,3913990000000.0,275807000000.0
9571,9571,9571,5.0,-32.5,8865650000000.0,3368070000000.0
9572,9572,9572,5.833333333,-32.5,2244230000000.0,193952000000.0
9573,9573,9573,6.666666667,-32.5,2634560000000.0,273007000000.0
9574,9574,9574,7.5,-32.5,2068190000000.0,254861000000.0
9575,9575,9575,8.333333333,-32.5,3733720000000.0,547914000000.0
9576,9576,9576,9.166666667,-32.5,3252860000000.0,325459000000.0
9577,9577,9577,10.0,-32.5,1992720000000.0,206807000000.0
9578,9578,9578,10.83333333,-32.5,1578690000000.0,277893000000.0
9579,9579,9579,11.66666667,-32.5,2000700000000.0,221410000000.0
9580,9580,9580,12.5,-32.5,3703950000000.0,507989000000.0
9581,9581,9581,13.33333333,-32.5,956798000000.0,157110000000.0
9582,9582,9582,14.16666667,-32.5,1689720000000.0,581842000000.0
9583,9583,9583,15.0,-32.5,12340100000000.0,8324220000000.0
9584,9584,9584,15.83333333,-32.5,2129420000000.0,385183000000.0
9585,9585,9585,16.66666667,-32.5,3313590000000.0,601723000000.0
9586,9586,9586,17.5,-32.5,2638680000000.0,338355000000.0
9587,9587,9587,18.33333333,-32.5,2046570000000.0,197245000000.0
9588,9588,9588,19.16666667,-32.5,1810360000000.0,163715000000.0
9589,9589,9589,20.0,-32.5,2250840000000.0,355510000000.0
9590,9590,9590,20.83333333,-32.5,3096870000000.0,231419000000.0
9591,9591,9591,21.66666667,-32.5,4103490000000.0,485076000000.0
9592,9592,9592,22.5,-32.5,3315220000000.0,267884000000.0
9593,9593,9593,23.33333333,-32.5,7315510000000.0,1280510000000.0
9594,9594,9594,24.16666667,-32.5,2367220000000.0,384009000000.0
9595,9595,9595,25.0,-32.5,1653040000000.0,207422000000.0
9596,9596,9596,25.83333333,-32.5,3632280000000.0,611844000000.0
9597,9597,9597,26.66666667,-32.5,4868610000000.0,552207000000.0
9598,9598,9598,27.5,-32.5,3981210000000.0,497811000000.0
9599,9599,9599,28.33333333,-32.5,2401480000000.0,290769000000.0
9600,9600,9600,29.16666667,-32.5,1765290000000.0,163161000000.0
9601,9601,9601,30.0,-32.5,2542440000000.0,407504000000.0
9602,9602,9602,30.83333333,-32.5,2166410000000.0,225875000000.0
9603,9603,9603,31.66666667,-32.5,1948780000000.0,640478000000.0
9604,9604,9604,32.5,-32.5,3238430000000.0,514602000000.0
9605,9605,9605,33.33333333,-32.5,2444570000000.0,252855000000.0
9606,9606,9606,34.16666667,-32.5,1306140000000.0,203229000000.0
9607,9607,9607,35.0,-32.5,1614780000000.0,190188000000.0
9608,9608,9608,35.83333333,-32.5,1703690000000.0,420767000000.0
9609,9609,9609,36.66666667,-32.5,1333970000000.0,417121000000.0
9610,9610,9610,37.5,-32.5,2129670000000.0,206469000000.0
9611,9611,9611,38.33333333,-32.5,1708830000000.0,217866000000.0
9612,9612,9612,39.16666667,-32.5,2519330000000.0,255052000000.0
9613,9613,9613,40.0,-32.5,1771970000000.0,282422000000.0
9614,9614,9614,40.83333333,-32.5,1031540000000.0,133554000000.0
9615,9615,9615,41.66666667,-32.5,1517300000000.0,337954000000.0
9616,9616,9616,42.5,-32.5,1788730000000.0,202882000000.0
9617,9617,9617,43.33333333,-32.5,3161280000000.0,387815000000.0
9618,9618,9618,44.16666667,-32.5,2246480000000.0,139257000000.0
9619,9619,9619,45.0,-32.5,1664030000000.0,305781000000.0
9620,9620,9620,45.83333333,-32.5,1396640000000.0,122286000000.0
9621,9621,9621,46.66666667,-32.5,2633900000000.0,340580000000.0
9622,9622,9622,47.5,-32.5,2030340000000.0,402207000000.0
9623,9623,9623,48.33333333,-32.5,4992380000000.0,2001540000000.0
9624,9624,9624,49.16666667,-32.5,2081320000000.0,352778000000.0
9625,9625,9625,50.0,-32.5,1558680000000.0,278346000000.0
9626,9626,9626,50.83333333,-32.5,1422700000000.0,229518000000.0
9627,9627,9627,51.66666667,-32.5,1353130000000.0,252774000000.0
9628,9628,9628,52.5,-32.5,1660800000000.0,1077250000000.0
9629,9629,9629,53.33333333,-32.5,1860300000000.0,434439000000.0
9630,9630,9630,54.16666667,-32.5,1257310000000.0,300219000000.0
9631,9631,9631,55.0,-32.5,2099910000000.0,496918000000.0
9632,9632,9632,55.83333333,-32.5,2404200000000.0,965148000000.0
9633,9633,9633,56.66666667,-32.5,1063730000000.0,297552000000.0
9634,9634,9634,57.5,-32.5,1120440000000.0,162914000000.0
9635,9635,9635,58.33333333,-32.5,428997000000.0,237170000000.0
9636,9636,9636,59.16666667,-32.5,299029000000.0,117178000000.0
9637,9637,9637,60.0,-32.5,1961750000000.0,525688000000.0
9638,9638,9638,60.83333333,-32.5,516361000000.0,111387000000.0
9639,9639,9639,61.66666667,-32.5,643062000000.0,278900000000.0
9640,9640,9640,62.5,-32.5,1960760000000.0,384606000000.0
9641,9641,9641,63.33333333,-32.5,2528670000000.0,462160000000.0
9642,9642,9642,64.16666667,-32.5,727527000000.0,402113000000.0
9643,9643,9643,65.0,-32.5,1336160000000.0,620722000000.0
9644,9644,9644,65.83333333,-32.5,892707000000.0,493164000000.0
9645,9645,9645,66.66666667,-32.5,1017490000000.0,479664000000.0
9646,9646,9646,67.5,-32.5,2873160000000.0,1736750000000.0
9647,9647,9647,68.33333333,-32.5,3887630000000.0,401351000000.0
9648,9648,9648,69.16666667,-32.5,745166000000.0,398556000000.0
9649,9649,9649,70.0,-32.5,495698000000.0,165267000000.0
9650,9650,9650,70.83333333,-32.5,1501130000000.0,540082000000.0
9651,9651,9651,71.66666667,-32.5,1339210000000.0,420426000000.0
9652,9652,9652,72.5,-32.5,490575000000.0,157781000000.0
9653,9653,9653,73.33333333,-32.5,1528110000000.0,266523000000.0
9654,9654,9654,74.16666667,-32.5,630157000000.0,237906000000.0
9655,9655,9655,75.0,-32.5,588078000000.0,229847000000.0
9656,9656,9656,75.83333333,-32.5,2419300000000.0,883037000000.0
9657,9657,9657,76.66666667,-32.5,445003000000.0,231426000000.0
9658,9658,9658,77.5,-32.5,1564650000000.0,677641000000.0
9659,9659,9659,78.33333333,-32.5,487674000000.0,363186000000.0
9660,9660,9660,79.16666667,-32.5,4356800000000.0,1164190000000.0
9661,9661,9661,80.0,-32.5,787793000000.0,542347000000.0
9662,9662,9662,80.83333333,-32.5,1327320000000.0,233497000000.0
9663,9663,9663,81.66666667,-32.5,1214000000000.0,305859000000.0
9664,9664,9664,82.5,-32.5,1479450000000.0,606679000000.0
9665,9665,9665,83.33333333,-32.5,834847000000.0,339622000000.0
9666,9666,9666,84.16666667,-32.5,1308640000000.0,525174000000.0
9667,9667,9667,85.0,-32.5,947398000000.0,212429000000.0
9668,9668,9668,85.83333333,-32.5,123776000000.0,106731000000.0
9669,9669,9669,86.66666667,-32.5,1013170000000.0,271367000000.0
9670,9670,9670,87.5,-32.5,2787910000000.0,305766000000.0
9671,9671,9671,88.33333333,-32.5,785854000000.0,278115000000.0
9672,9672,9672,89.16666667,-32.5,1125650000000.0,264106000000.0
9673,9673,9673,90.0,-32.5,1872720000000.0,625790000000.0
9674,9674,9674,90.83333333,-32.5,1957100000000.0,361904000000.0
9675,9675,9675,91.66666667,-32.5,966673000000.0,314882000000.0
9676,9676,9676,92.5,-32.5,2423250000000.0,342945000000.0
9677,9677,9677,93.33333333,-32.5,1157560000000.0,305526000000.0
9678,9678,9678,94.16666667,-32.5,634607000000.0,337959000000.0
9679,9679,9679,95.0,-32.5,131713000000.0,68726455654.0
9680,9680,9680,95.83333333,-32.5,2469690000000.0,1276910000000.0
9681,9681,9681,96.66666667,-32.5,1504080000000.0,259261000000.0
9682,9682,9682,97.5,-32.5,1246070000000.0,656213000000.0
9683,9683,9683,98.33333333,-32.5,1051540000000.0,190780000000.0
9684,9684,9684,99.16666667,-32.5,1939130000000.0,512677000000.0
9685,9685,9685,100.0,-32.5,1941570000000.0,490937000000.0
9686,9686,9686,100.8333333,-32.5,654185000000.0,329537000000.0
9687,9687,9687,101.6666667,-32.5,644380000000.0,417811000000.0
9688,9688,9688,102.5,-32.5,231462000000.0,173350000000.0
9689,9689,9689,103.3333333,-32.5,521024000000.0,241412000000.0
9690,9690,9690,104.1666667,-32.5,1594460000000.0,461801000000.0
9691,9691,9691,105.0,-32.5,1400380000000.0,489652000000.0
9692,9692,9692,105.8333333,-32.5,199617000000.0,79136034906.0
9693,9693,9693,106.6666667,-32.5,68685925185.0,44347570867.0
9694,9694,9694,107.5,-32.5,0.0,0.0
9695,9695,9695,108.3333333,-32.5,2346990000000.0,1446450000000.0
9696,9696,9696,109.1666667,-32.5,203485000000.0,100767000000.0
